,0,1,2,3,4,5,6,7,8,9,10,11,12,13,action_x,action_y,rewards,terminals
0,1.0378644270374229,1.4262917479451254,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.09836930925168803,1.2795503848519183,-22.68801450625104,False
1,1.868962924712415,2.0611748421405993,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.8310984976749922,0.6348830941954737,1.0261859565236797,False
2,3.3584049691638347,2.116836366720742,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,1.4894420444514198,0.05566152458014262,0.9951391058032328,False
3,3.837098215588739,3.0617714448222415,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.4786932464249043,0.9449350781014998,1.037406217456052,False
4,4.580781995075199,3.7735634576583923,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.7436837794864606,0.7117920128361508,1.02032951592469,False
5,4.811446423860041,4.936718402525138,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.23066442878484228,1.1631549448667458,1.0462136316564568,False
6,5.226827183753505,5.937356856173575,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.41538075989346357,1.0006384536484374,1.0291565862898082,False
7,6.145452948270077,6.495232009557052,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.9186257645165723,0.5578751533834767,1.0222680901256478,False
8,6.767877653511067,7.31370976672604,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.6224247052409897,0.8184777571689885,1.0268542920386832,False
9,7.101638525558149,8.386158751185775,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.3337608720470824,1.0724489844597356,1.0261980731797333,False
10,7.91093883096338,9.040220256414653,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.8093003054052303,0.6540615052288778,1.0272022795737996,False
11,8.629179218884241,9.7743977870722,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.7182403879208614,0.7341775306575471,1.025661043587979,False
12,9.69121517513107,10.206098275632776,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,1.0620359562468291,0.4317004885605762,1.011917593719799,False
13,10.719386579064969,10.667593358886442,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,1.0281714039338983,0.4614950832536664,0.9859322712778464,False
14,11.237933107195905,11.57746485886506,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.5185465281309369,0.9098714999786175,1.0417354237959202,False
15,11.590414093892232,12.633443576024987,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.3524809866963263,1.0559787171599275,1.0542869629800444,False
16,12.996710806452477,12.76225774238313,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,1.4062967125602448,0.1288141663581417,0.8955027349207887,False
17,13.744654506302535,13.470301806642095,16.146375566243073,18.35197913110202,5.0,5.0,15.0,5.0,5.0,15.0,15.0,15.0,10.0,10.0,0.7479436998500582,0.7080440642589654,0.9755249755442863,False
